pT,general classifier proportion,label,classifier,blur
41.76082992553711,0.7577218,0.0,Latent Space Pooled Hybrid Classifier,0.1
47.2451171875,0.7819515,1.0,Latent Space Pooled Hybrid Classifier,0.1
44.8245735168457,0.7677807,1.0,Latent Space Pooled Hybrid Classifier,0.1
37.347496032714844,0.73425484,1.0,Latent Space Pooled Hybrid Classifier,0.1
16.772397994995117,0.6450012,0.0,Latent Space Pooled Hybrid Classifier,0.1
44.175540924072266,0.76418424,1.0,Latent Space Pooled Hybrid Classifier,0.1
41.398258209228516,0.75764054,1.0,Latent Space Pooled Hybrid Classifier,0.1
42.009239196777344,0.7577994,0.0,Latent Space Pooled Hybrid Classifier,0.1
26.885032653808594,0.6959121,0.0,Latent Space Pooled Hybrid Classifier,0.1
27.906648635864258,0.70188487,1.0,Latent Space Pooled Hybrid Classifier,0.1
40.483585357666016,0.7518519,1.0,Latent Space Pooled Hybrid Classifier,0.1
46.61761474609375,0.77572227,1.0,Latent Space Pooled Hybrid Classifier,0.1
43.70380401611328,0.76067996,1.0,Latent Space Pooled Hybrid Classifier,0.1
43.83980178833008,0.760998,1.0,Latent Space Pooled Hybrid Classifier,0.1
57.013790130615234,0.803046,0.0,Latent Space Pooled Hybrid Classifier,0.1
31.067646026611328,0.7201609,0.0,Latent Space Pooled Hybrid Classifier,0.1
38.260215759277344,0.74236375,0.0,Latent Space Pooled Hybrid Classifier,0.1
30.30204963684082,0.71672785,1.0,Latent Space Pooled Hybrid Classifier,0.1
47.77994155883789,0.7867956,0.0,Latent Space Pooled Hybrid Classifier,0.1
24.863595962524414,0.6878671,1.0,Latent Space Pooled Hybrid Classifier,0.1
12.620381355285645,0.62913173,1.0,Latent Space Pooled Hybrid Classifier,0.1
46.33623123168945,0.77420205,1.0,Latent Space Pooled Hybrid Classifier,0.1
44.720916748046875,0.76696306,0.0,Latent Space Pooled Hybrid Classifier,0.1
42.12199783325195,0.75805527,0.0,Latent Space Pooled Hybrid Classifier,0.1
46.050872802734375,0.77404326,1.0,Latent Space Pooled Hybrid Classifier,0.1
28.98883819580078,0.71536696,1.0,Latent Space Pooled Hybrid Classifier,0.1
36.26420974731445,0.7208213,1.0,Latent Space Pooled Hybrid Classifier,0.1
40.450260162353516,0.7516665,1.0,Latent Space Pooled Hybrid Classifier,0.1
41.87223815917969,0.7575584,1.0,Latent Space Pooled Hybrid Classifier,0.1
41.6697883605957,0.75819796,0.0,Latent Space Pooled Hybrid Classifier,0.1
47.68849563598633,0.7859737,1.0,Latent Space Pooled Hybrid Classifier,0.1
40.297080993652344,0.7508898,0.0,Latent Space Pooled Hybrid Classifier,0.1
43.98579406738281,0.76201564,0.0,Latent Space Pooled Hybrid Classifier,0.1
43.5733757019043,0.7611139,0.0,Latent Space Pooled Hybrid Classifier,0.1
38.96174621582031,0.744449,0.0,Latent Space Pooled Hybrid Classifier,0.1
33.3685302734375,0.7150619,1.0,Latent Space Pooled Hybrid Classifier,0.1
19.000152587890625,0.6551376,0.0,Latent Space Pooled Hybrid Classifier,0.1
42.15358352661133,0.7581291,0.0,Latent Space Pooled Hybrid Classifier,0.1
43.152610778808594,0.7602954,0.0,Latent Space Pooled Hybrid Classifier,0.1
15.323677062988281,0.6394982,1.0,Latent Space Pooled Hybrid Classifier,0.1
37.92189407348633,0.7406907,0.0,Latent Space Pooled Hybrid Classifier,0.1
31.468990325927734,0.7237235,0.0,Latent Space Pooled Hybrid Classifier,0.1
43.72500991821289,0.7605882,1.0,Latent Space Pooled Hybrid Classifier,0.1
44.50851821899414,0.7657841,0.0,Latent Space Pooled Hybrid Classifier,0.1
38.06214904785156,0.7420261,0.0,Latent Space Pooled Hybrid Classifier,0.1
40.64217758178711,0.7534243,0.0,Latent Space Pooled Hybrid Classifier,0.1
35.16999053955078,0.7070295,0.0,Latent Space Pooled Hybrid Classifier,0.1
36.93073654174805,0.73100615,1.0,Latent Space Pooled Hybrid Classifier,0.1
26.761878967285156,0.6958519,0.0,Latent Space Pooled Hybrid Classifier,0.1
34.760066986083984,0.7060035,0.0,Latent Space Pooled Hybrid Classifier,0.1
45.973201751708984,0.7739976,1.0,Latent Space Pooled Hybrid Classifier,0.1
28.797456741333008,0.71283835,0.0,Latent Space Pooled Hybrid Classifier,0.1
38.17805862426758,0.7425811,1.0,Latent Space Pooled Hybrid Classifier,0.1
19.177793502807617,0.6556631,1.0,Latent Space Pooled Hybrid Classifier,0.1
34.074710845947266,0.7076007,0.0,Latent Space Pooled Hybrid Classifier,0.1
14.31665325164795,0.63565093,0.0,Latent Space Pooled Hybrid Classifier,0.1
27.074737548828125,0.6967802,0.0,Latent Space Pooled Hybrid Classifier,0.1
19.13149642944336,0.65552604,1.0,Latent Space Pooled Hybrid Classifier,0.1
8.521720886230469,0.6124759,1.0,Latent Space Pooled Hybrid Classifier,0.1
39.12691116333008,0.7449436,0.0,Latent Space Pooled Hybrid Classifier,0.1
46.2688102722168,0.77416706,1.0,Latent Space Pooled Hybrid Classifier,0.1
59.03639602661133,0.81220376,1.0,Latent Space Pooled Hybrid Classifier,0.1
